"INSEE_COM","LIBELLE","agr","art","cad","int","emp","ouv","act","pagr","part","pcad","pint","pemp","pouv","cat"
"76001","Allouville-Bellefosse",0,35,30,90,130,125,410,0,8.54,7.32,21.95,31.71,30.49,"emp"
"76002","Alvimare",0,13,8,55,55,72,203,0,6.4,3.94,27.09,27.09,35.47,"ouv"
"76004","Ambrumesnil",4,16,12,59,55,47,193,2.07,8.29,6.22,30.57,28.5,24.35,"int"
"76005","Amfreville-La-Mi-Voie",0,63,151,434,400,250,1298,0,4.85,11.63,33.44,30.82,19.26,"int"
"76006","Amfreville-Les-Champs",0,11,0,5,32,32,80,0,13.75,0,6.25,40,40,"emp"
"76007","Anceaumeville",10,31,26,41,46,71,225,4.44,13.78,11.56,18.22,20.44,31.56,"ouv"
"76008","Ancourt",0,45,15,55,75,45,235,0,19.15,6.38,23.4,31.91,19.15,"emp"
"76009","Ancourteville-Sur-Héricourt",0,5,14,43,24,39,125,0,4,11.2,34.4,19.2,31.2,"int"
"76010","Ancretiéville-Saint-Victor",8,12,16,29,49,65,179,4.47,6.7,8.94,16.2,27.37,36.31,"ouv"
"76011","Ancretteville-Sur-Mer",0,10,0,10,25,35,80,0,12.5,0,12.5,31.25,43.75,"ouv"
"76012","Angerville-Bailleul",0,5,5,25,15,30,80,0,6.25,6.25,31.25,18.75,37.5,"ouv"
"76013","Angerville-La-Martel",17,16,41,74,116,108,372,4.57,4.3,11.02,19.89,31.18,29.03,"emp"
"76014","Angerville-L'orcher",10,15,65,115,140,105,450,2.22,3.33,14.44,25.56,31.11,23.33,"emp"
"76015","Angiens",5,10,10,77,51,51,204,2.45,4.9,4.9,37.75,25,25,"int"
"76016","Anglesqueville-La-Bras-Long",0,0,0,15,30,20,65,0,0,0,23.08,46.15,30.77,"emp"
"76017","Anglesqueville-L'esneval",0,10,30,55,50,75,220,0,4.55,13.64,25,22.73,34.09,"ouv"
"76018","Val-De-Saâne",10,25,10,134,139,189,507,1.97,4.93,1.97,26.43,27.42,37.28,"ouv"
"76019","Anneville-Sur-Scie",0,12,0,20,44,68,144,0,8.33,0,13.89,30.56,47.22,"ouv"
"76020","Anneville-Ambourville",20,12,20,104,120,128,404,4.95,2.97,4.95,25.74,29.7,31.68,"ouv"
"76021","Annouville-Vilmesnil",5,0,49,60,76,65,255,1.96,0,19.22,23.53,29.8,25.49,"emp"
"76022","Anquetierville",8,4,8,52,24,44,140,5.71,2.86,5.71,37.14,17.14,31.43,"int"
"76023","Anvéville",0,4,4,40,36,40,124,0,3.23,3.23,32.26,29.03,32.26,"int"
"76024","Ardouval",0,0,15,5,10,20,50,0,0,30,10,20,40,"ouv"
"76025","Argueil",24,4,8,20,24,44,124,19.35,3.23,6.45,16.13,19.35,35.48,"ouv"
"76026","Arques-La-Bataille",5,46,57,185,283,283,859,0.58,5.36,6.64,21.54,32.95,32.95,"emp"
"76028","Aubéguimont",0,5,0,5,5,60,75,0,6.67,0,6.67,6.67,80,"ouv"
"76029","Aubermesnil-Aux-Érables",5,15,0,20,5,20,65,7.69,23.08,0,30.77,7.69,30.77,"int"
"76030","Aubermesnil-Beaumais",0,0,10,39,75,39,163,0,0,6.13,23.93,46.01,23.93,"emp"
"76032","Auberville-La-Manuel",0,0,9,0,23,9,41,0,0,21.95,0,56.1,21.95,"emp"
"76033","Auberville-La-Renault",8,12,13,45,58,41,177,4.52,6.78,7.34,25.42,32.77,23.16,"emp"
"76034","Auffay",0,55,65,120,175,200,615,0,8.94,10.57,19.51,28.46,32.52,"ouv"
"76035","Aumale",12,86,59,103,166,297,723,1.66,11.89,8.16,14.25,22.96,41.08,"ouv"
"76036","Auppegard",5,30,25,80,60,50,250,2,12,10,32,24,20,"int"
"76038","Authieux-Ratiéville",0,5,10,59,49,39,162,0,3.09,6.17,36.42,30.25,24.07,"int"
"76039","Authieux-Sur-Le-Port-Saint-Ouen",0,24,130,223,105,61,543,0,4.42,23.94,41.07,19.34,11.23,"int"
"76040","Autigny",0,8,0,24,33,49,114,0,7.02,0,21.05,28.95,42.98,"ouv"
"76041","Autretot",0,12,24,92,76,72,276,0,4.35,8.7,33.33,27.54,26.09,"int"
"76042","Auvilliers",17,6,0,6,6,0,35,48.57,17.14,0,17.14,17.14,0,"agr"
"76043","Auzebosc",4,12,36,100,136,116,404,0.99,2.97,8.91,24.75,33.66,28.71,"emp"
"76044","Auzouville-Auberbosc",10,5,20,30,40,40,145,6.9,3.45,13.79,20.69,27.59,27.59,"emp"
"76045","Auzouville-L'esneval",4,4,4,31,32,55,130,3.08,3.08,3.08,23.85,24.62,42.31,"ouv"
"76046","Auzouville-Sur-Ry",0,24,20,59,59,78,240,0,10,8.33,24.58,24.58,32.5,"ouv"
"76047","Auzouville-Sur-Saâne",0,4,4,12,16,12,48,0,8.33,8.33,25,33.33,25,"emp"
"76048","Avesnes-En-Bray",8,4,12,20,39,39,122,6.56,3.28,9.84,16.39,31.97,31.97,"emp"
"76049","Avesnes-En-Val",0,10,0,24,20,38,92,0,10.87,0,26.09,21.74,41.3,"ouv"
"76050","Avremesnil",10,15,50,65,115,135,390,2.56,3.85,12.82,16.67,29.49,34.62,"ouv"
"76051","Bacqueville-En-Caux",0,25,65,145,184,275,694,0,3.6,9.37,20.89,26.51,39.63,"ouv"
"76052","Bailleul-Neuville",10,0,10,29,43,12,104,9.62,0,9.62,27.88,41.35,11.54,"emp"
"76053","Baillolet",10,0,0,20,10,0,40,25,0,0,50,25,0,"int"
"76054","Bailly-En-Rivière",16,12,4,16,79,75,202,7.92,5.94,1.98,7.92,39.11,37.13,"emp"
"76055","Baons-Le-Comte",4,12,25,33,33,45,152,2.63,7.89,16.45,21.71,21.71,29.61,"ouv"
"76056","Bardouville",5,41,26,67,67,72,278,1.8,14.75,9.35,24.1,24.1,25.9,"ouv"
